SLR closure table
Goto	Kernel	State	Closure
{PROGRAM' -> .PROGRAM}	0	{PROGRAM' -> .PROGRAM; PROGRAM -> .Delim KwStatements STATEMENTLIST Delim KwAlgorithm COMMANDLIST}
goto(0, PROGRAM)	{PROGRAM' -> PROGRAM.}	1	{PROGRAM' -> PROGRAM.}
goto(0, Delim)	{PROGRAM -> Delim.KwStatements STATEMENTLIST Delim KwAlgorithm COMMANDLIST}	2	{PROGRAM -> Delim.KwStatements STATEMENTLIST Delim KwAlgorithm COMMANDLIST}
goto(2, KwStatements)	{PROGRAM -> Delim KwStatements.STATEMENTLIST Delim KwAlgorithm COMMANDLIST}	3	{PROGRAM -> Delim KwStatements.STATEMENTLIST Delim KwAlgorithm COMMANDLIST; STATEMENTLIST -> .STATEMENT STATEMENTLIST; STATEMENTLIST -> .STATEMENT; STATEMENT -> .Var Delim VARTYPE}
goto(3, STATEMENTLIST)	{PROGRAM -> Delim KwStatements STATEMENTLIST.Delim KwAlgorithm COMMANDLIST}	4	{PROGRAM -> Delim KwStatements STATEMENTLIST.Delim KwAlgorithm COMMANDLIST}
goto(3, STATEMENT)	{STATEMENTLIST -> STATEMENT.STATEMENTLIST; STATEMENTLIST -> STATEMENT.}	5	{STATEMENTLIST -> STATEMENT.STATEMENTLIST; STATEMENTLIST -> STATEMENT.; STATEMENTLIST -> .STATEMENT STATEMENTLIST; STATEMENTLIST -> .STATEMENT; STATEMENT -> .Var Delim VARTYPE}
goto(3, Var)	{STATEMENT -> Var.Delim VARTYPE}	6	{STATEMENT -> Var.Delim VARTYPE}
goto(4, Delim)	{PROGRAM -> Delim KwStatements STATEMENTLIST Delim.KwAlgorithm COMMANDLIST}	7	{PROGRAM -> Delim KwStatements STATEMENTLIST Delim.KwAlgorithm COMMANDLIST}
goto(5, STATEMENTLIST)	{STATEMENTLIST -> STATEMENT STATEMENTLIST.}	8	{STATEMENTLIST -> STATEMENT STATEMENTLIST.}
goto(5, STATEMENT)	{STATEMENTLIST -> STATEMENT.STATEMENTLIST; STATEMENTLIST -> STATEMENT.}	5	 
goto(5, Var)	{STATEMENT -> Var.Delim VARTYPE}	6	 
goto(6, Delim)	{STATEMENT -> Var Delim.VARTYPE}	9	{STATEMENT -> Var Delim.VARTYPE; VARTYPE -> .KwInteger; VARTYPE -> .KwReal}
goto(7, KwAlgorithm)	{PROGRAM -> Delim KwStatements STATEMENTLIST Delim KwAlgorithm.COMMANDLIST}	10	{PROGRAM -> Delim KwStatements STATEMENTLIST Delim KwAlgorithm.COMMANDLIST; COMMANDLIST -> .COMMAND COMMANDLIST; COMMANDLIST -> .COMMAND; COMMAND -> .ASSIGNCMD; COMMAND -> .INCMD; COMMAND -> .OUTCMD; COMMAND -> .CONDITIONCMD; COMMAND -> .REPEATCMD; COMMAND -> .SUBALGORITHM; ASSIGNCMD -> .KwAssign ARITHMETICEXPRESSION KwTo Var; INCMD -> .KwRead Var; OUTCMD -> .KwPrint Var; OUTCMD -> .KwPrint String; CONDITIONCMD -> .KwIf RELATIONALEXPRESSION KwThen COMMAND; CONDITIONCMD -> .KwIf RELATIONALEXPRESSION KwThen COMMAND KwElse COMMAND; REPEATCMD -> .KwWhile RELATIONALEXPRESSION COMMAND; SUBALGORITHM -> .KwBegin COMMANDLIST KwEnd}
goto(9, VARTYPE)	{STATEMENT -> Var Delim VARTYPE.}	11	{STATEMENT -> Var Delim VARTYPE.}
goto(9, KwInteger)	{VARTYPE -> KwInteger.}	12	{VARTYPE -> KwInteger.}
goto(9, KwReal)	{VARTYPE -> KwReal.}	13	{VARTYPE -> KwReal.}
goto(10, COMMANDLIST)	{PROGRAM -> Delim KwStatements STATEMENTLIST Delim KwAlgorithm COMMANDLIST.}	14	{PROGRAM -> Delim KwStatements STATEMENTLIST Delim KwAlgorithm COMMANDLIST.}
goto(10, COMMAND)	{COMMANDLIST -> COMMAND.COMMANDLIST; COMMANDLIST -> COMMAND.}	15	{COMMANDLIST -> COMMAND.COMMANDLIST; COMMANDLIST -> COMMAND.; COMMANDLIST -> .COMMAND COMMANDLIST; COMMANDLIST -> .COMMAND; COMMAND -> .ASSIGNCMD; COMMAND -> .INCMD; COMMAND -> .OUTCMD; COMMAND -> .CONDITIONCMD; COMMAND -> .REPEATCMD; COMMAND -> .SUBALGORITHM; ASSIGNCMD -> .KwAssign ARITHMETICEXPRESSION KwTo Var; INCMD -> .KwRead Var; OUTCMD -> .KwPrint Var; OUTCMD -> .KwPrint String; CONDITIONCMD -> .KwIf RELATIONALEXPRESSION KwThen COMMAND; CONDITIONCMD -> .KwIf RELATIONALEXPRESSION KwThen COMMAND KwElse COMMAND; REPEATCMD -> .KwWhile RELATIONALEXPRESSION COMMAND; SUBALGORITHM -> .KwBegin COMMANDLIST KwEnd}
goto(10, ASSIGNCMD)	{COMMAND -> ASSIGNCMD.}	16	{COMMAND -> ASSIGNCMD.}
goto(10, INCMD)	{COMMAND -> INCMD.}	17	{COMMAND -> INCMD.}
goto(10, OUTCMD)	{COMMAND -> OUTCMD.}	18	{COMMAND -> OUTCMD.}
goto(10, CONDITIONCMD)	{COMMAND -> CONDITIONCMD.}	19	{COMMAND -> CONDITIONCMD.}
goto(10, REPEATCMD)	{COMMAND -> REPEATCMD.}	20	{COMMAND -> REPEATCMD.}
goto(10, SUBALGORITHM)	{COMMAND -> SUBALGORITHM.}	21	{COMMAND -> SUBALGORITHM.}
goto(10, KwAssign)	{ASSIGNCMD -> KwAssign.ARITHMETICEXPRESSION KwTo Var}	22	{ASSIGNCMD -> KwAssign.ARITHMETICEXPRESSION KwTo Var; ARITHMETICEXPRESSION -> .ARITHMETICEXPRESSION OpAritSum ARITHMETICTERM; ARITHMETICEXPRESSION -> .ARITHMETICEXPRESSION OpAritSub ARITHMETICTERM; ARITHMETICEXPRESSION -> .ARITHMETICTERM; ARITHMETICTERM -> .ARITHMETICTERM OpAritMult ARITHMETICFACTOR; ARITHMETICTERM -> .ARITHMETICTERM OpAritDiv ARITHMETICFACTOR; ARITHMETICTERM -> .ARITHMETICFACTOR; ARITHMETICFACTOR -> .NumInt; ARITHMETICFACTOR -> .NumReal; ARITHMETICFACTOR -> .Var; ARITHMETICFACTOR -> .OpenPar ARITHMETICEXPRESSION ClosePar}
goto(10, KwRead)	{INCMD -> KwRead.Var}	23	{INCMD -> KwRead.Var}
goto(10, KwPrint)	{OUTCMD -> KwPrint.Var; OUTCMD -> KwPrint.String}	24	{OUTCMD -> KwPrint.Var; OUTCMD -> KwPrint.String}
goto(10, KwIf)	{CONDITIONCMD -> KwIf.RELATIONALEXPRESSION KwThen COMMAND; CONDITIONCMD -> KwIf.RELATIONALEXPRESSION KwThen COMMAND KwElse COMMAND}	25	{CONDITIONCMD -> KwIf.RELATIONALEXPRESSION KwThen COMMAND; CONDITIONCMD -> KwIf.RELATIONALEXPRESSION KwThen COMMAND KwElse COMMAND; RELATIONALEXPRESSION -> .RELATIONALEXPRESSION BOOLEANOPERATOR RELATIONALTERM; RELATIONALEXPRESSION -> .RELATIONALTERM; RELATIONALTERM -> .ARITHMETICEXPRESSION OpRel ARITHMETICEXPRESSION; RELATIONALTERM -> .OpenPar RELATIONALEXPRESSION ClosePar; ARITHMETICEXPRESSION -> .ARITHMETICEXPRESSION OpAritSum ARITHMETICTERM; ARITHMETICEXPRESSION -> .ARITHMETICEXPRESSION OpAritSub ARITHMETICTERM; ARITHMETICEXPRESSION -> .ARITHMETICTERM; ARITHMETICTERM -> .ARITHMETICTERM OpAritMult ARITHMETICFACTOR; ARITHMETICTERM -> .ARITHMETICTERM OpAritDiv ARITHMETICFACTOR; ARITHMETICTERM -> .ARITHMETICFACTOR; ARITHMETICFACTOR -> .NumInt; ARITHMETICFACTOR -> .NumReal; ARITHMETICFACTOR -> .Var; ARITHMETICFACTOR -> .OpenPar ARITHMETICEXPRESSION ClosePar}
goto(10, KwWhile)	{REPEATCMD -> KwWhile.RELATIONALEXPRESSION COMMAND}	26	{REPEATCMD -> KwWhile.RELATIONALEXPRESSION COMMAND; RELATIONALEXPRESSION -> .RELATIONALEXPRESSION BOOLEANOPERATOR RELATIONALTERM; RELATIONALEXPRESSION -> .RELATIONALTERM; RELATIONALTERM -> .ARITHMETICEXPRESSION OpRel ARITHMETICEXPRESSION; RELATIONALTERM -> .OpenPar RELATIONALEXPRESSION ClosePar; ARITHMETICEXPRESSION -> .ARITHMETICEXPRESSION OpAritSum ARITHMETICTERM; ARITHMETICEXPRESSION -> .ARITHMETICEXPRESSION OpAritSub ARITHMETICTERM; ARITHMETICEXPRESSION -> .ARITHMETICTERM; ARITHMETICTERM -> .ARITHMETICTERM OpAritMult ARITHMETICFACTOR; ARITHMETICTERM -> .ARITHMETICTERM OpAritDiv ARITHMETICFACTOR; ARITHMETICTERM -> .ARITHMETICFACTOR; ARITHMETICFACTOR -> .NumInt; ARITHMETICFACTOR -> .NumReal; ARITHMETICFACTOR -> .Var; ARITHMETICFACTOR -> .OpenPar ARITHMETICEXPRESSION ClosePar}
goto(10, KwBegin)	{SUBALGORITHM -> KwBegin.COMMANDLIST KwEnd}	27	{SUBALGORITHM -> KwBegin.COMMANDLIST KwEnd; COMMANDLIST -> .COMMAND COMMANDLIST; COMMANDLIST -> .COMMAND; COMMAND -> .ASSIGNCMD; COMMAND -> .INCMD; COMMAND -> .OUTCMD; COMMAND -> .CONDITIONCMD; COMMAND -> .REPEATCMD; COMMAND -> .SUBALGORITHM; ASSIGNCMD -> .KwAssign ARITHMETICEXPRESSION KwTo Var; INCMD -> .KwRead Var; OUTCMD -> .KwPrint Var; OUTCMD -> .KwPrint String; CONDITIONCMD -> .KwIf RELATIONALEXPRESSION KwThen COMMAND; CONDITIONCMD -> .KwIf RELATIONALEXPRESSION KwThen COMMAND KwElse COMMAND; REPEATCMD -> .KwWhile RELATIONALEXPRESSION COMMAND; SUBALGORITHM -> .KwBegin COMMANDLIST KwEnd}
goto(15, COMMANDLIST)	{COMMANDLIST -> COMMAND COMMANDLIST.}	28	{COMMANDLIST -> COMMAND COMMANDLIST.}
goto(15, COMMAND)	{COMMANDLIST -> COMMAND.COMMANDLIST; COMMANDLIST -> COMMAND.}	15	 
goto(15, ASSIGNCMD)	{COMMAND -> ASSIGNCMD.}	16	 
goto(15, INCMD)	{COMMAND -> INCMD.}	17	 
goto(15, OUTCMD)	{COMMAND -> OUTCMD.}	18	 
goto(15, CONDITIONCMD)	{COMMAND -> CONDITIONCMD.}	19	 
goto(15, REPEATCMD)	{COMMAND -> REPEATCMD.}	20	 
goto(15, SUBALGORITHM)	{COMMAND -> SUBALGORITHM.}	21	 
goto(15, KwAssign)	{ASSIGNCMD -> KwAssign.ARITHMETICEXPRESSION KwTo Var}	22	 
goto(15, KwRead)	{INCMD -> KwRead.Var}	23	 
goto(15, KwPrint)	{OUTCMD -> KwPrint.Var; OUTCMD -> KwPrint.String}	24	 
goto(15, KwIf)	{CONDITIONCMD -> KwIf.RELATIONALEXPRESSION KwThen COMMAND; CONDITIONCMD -> KwIf.RELATIONALEXPRESSION KwThen COMMAND KwElse COMMAND}	25	 
goto(15, KwWhile)	{REPEATCMD -> KwWhile.RELATIONALEXPRESSION COMMAND}	26	 
goto(15, KwBegin)	{SUBALGORITHM -> KwBegin.COMMANDLIST KwEnd}	27	 
goto(22, ARITHMETICEXPRESSION)	{ASSIGNCMD -> KwAssign ARITHMETICEXPRESSION.KwTo Var; ARITHMETICEXPRESSION -> ARITHMETICEXPRESSION.OpAritSum ARITHMETICTERM; ARITHMETICEXPRESSION -> ARITHMETICEXPRESSION.OpAritSub ARITHMETICTERM}	29	{ASSIGNCMD -> KwAssign ARITHMETICEXPRESSION.KwTo Var; ARITHMETICEXPRESSION -> ARITHMETICEXPRESSION.OpAritSum ARITHMETICTERM; ARITHMETICEXPRESSION -> ARITHMETICEXPRESSION.OpAritSub ARITHMETICTERM}
goto(22, ARITHMETICTERM)	{ARITHMETICEXPRESSION -> ARITHMETICTERM.; ARITHMETICTERM -> ARITHMETICTERM.OpAritMult ARITHMETICFACTOR; ARITHMETICTERM -> ARITHMETICTERM.OpAritDiv ARITHMETICFACTOR}	30	{ARITHMETICEXPRESSION -> ARITHMETICTERM.; ARITHMETICTERM -> ARITHMETICTERM.OpAritMult ARITHMETICFACTOR; ARITHMETICTERM -> ARITHMETICTERM.OpAritDiv ARITHMETICFACTOR}
goto(22, ARITHMETICFACTOR)	{ARITHMETICTERM -> ARITHMETICFACTOR.}	31	{ARITHMETICTERM -> ARITHMETICFACTOR.}
goto(22, NumInt)	{ARITHMETICFACTOR -> NumInt.}	32	{ARITHMETICFACTOR -> NumInt.}
goto(22, NumReal)	{ARITHMETICFACTOR -> NumReal.}	33	{ARITHMETICFACTOR -> NumReal.}
goto(22, Var)	{ARITHMETICFACTOR -> Var.}	34	{ARITHMETICFACTOR -> Var.}
goto(22, OpenPar)	{ARITHMETICFACTOR -> OpenPar.ARITHMETICEXPRESSION ClosePar}	35	{ARITHMETICFACTOR -> OpenPar.ARITHMETICEXPRESSION ClosePar; ARITHMETICEXPRESSION -> .ARITHMETICEXPRESSION OpAritSum ARITHMETICTERM; ARITHMETICEXPRESSION -> .ARITHMETICEXPRESSION OpAritSub ARITHMETICTERM; ARITHMETICEXPRESSION -> .ARITHMETICTERM; ARITHMETICTERM -> .ARITHMETICTERM OpAritMult ARITHMETICFACTOR; ARITHMETICTERM -> .ARITHMETICTERM OpAritDiv ARITHMETICFACTOR; ARITHMETICTERM -> .ARITHMETICFACTOR; ARITHMETICFACTOR -> .NumInt; ARITHMETICFACTOR -> .NumReal; ARITHMETICFACTOR -> .Var; ARITHMETICFACTOR -> .OpenPar ARITHMETICEXPRESSION ClosePar}
goto(23, Var)	{INCMD -> KwRead Var.}	36	{INCMD -> KwRead Var.}
goto(24, Var)	{OUTCMD -> KwPrint Var.}	37	{OUTCMD -> KwPrint Var.}
goto(24, String)	{OUTCMD -> KwPrint String.}	38	{OUTCMD -> KwPrint String.}
goto(25, RELATIONALEXPRESSION)	{CONDITIONCMD -> KwIf RELATIONALEXPRESSION.KwThen COMMAND; CONDITIONCMD -> KwIf RELATIONALEXPRESSION.KwThen COMMAND KwElse COMMAND; RELATIONALEXPRESSION -> RELATIONALEXPRESSION.BOOLEANOPERATOR RELATIONALTERM}	39	{CONDITIONCMD -> KwIf RELATIONALEXPRESSION.KwThen COMMAND; CONDITIONCMD -> KwIf RELATIONALEXPRESSION.KwThen COMMAND KwElse COMMAND; RELATIONALEXPRESSION -> RELATIONALEXPRESSION.BOOLEANOPERATOR RELATIONALTERM; BOOLEANOPERATOR -> .OpBoolAnd; BOOLEANOPERATOR -> .OpBoolOr}
